노선,역번호,역명,영어역명,접속노선,역간거리,누적거리,L,소재지
별내선,804,별내,Byeollae,수도권 전철 경춘선,0,0,3.55,경기도 남양주시
별내선,805,다산,Dasan,,3.1,3.1,2.45,경기도 남양주시
별내선,806,동구릉,Donggureung,,1.8,4.9,1.45,경기도 구리시
별내선,807,구리,Guri,수도권 전철 경의·중앙선,1.1,6,1.5,경기도 구리시
별내선,808,장자호수공원,Jangja Lake Park,,1.9,7.9,2.7,서울특별시 강동구
별내선,809,암사역사공원,Amsa History Park,,3.5,11.4,2.3,서울특별시 강동구
서울 지하철 8호선,810,암사,Amsa,,1.1,12.5,1.2,서울특별시 강동구
서울 지하철 8호선,811,천호,Cheonho,수도권 전철 5호선,1.3,13.8,1.1,서울특별시 강동구
서울 지하철 8호선,812,강동구청,Gangdong-gu Office,,0.9,14.7,1.25,서울특별시 강동구
서울 지하철 8호선,813,몽촌토성,Mongchontoseong,,1.6,16.3,1.2,서울특별시 송파구
서울 지하철 8호선,814,잠실,Jamsil,서울 지하철 2호선,0.8,17.1,1,서울특별시 송파구
서울 지하철 8호선,815,석촌,Seokchon,서울 지하철 9호선,1.2,18.3,1.05,서울특별시 송파구
서울 지하철 8호선,816,송파,Songpa,,0.9,19.2,0.85,서울특별시 송파구
서울 지하철 8호선,817,가락시장,Garak Market,수도권 전철 3호선,0.8,20,0.85,서울특별시 송파구
서울 지하철 8호선,818,문정,Munjeong,,0.9,20.9,0.9,서울특별시 송파구
서울 지하철 8호선,819,장지,Jangji,,0.9,21.8,0.9,서울특별시 송파구
서울 지하철 8호선,820,복정,Bokjeong,수도권 전철 수인·분당선,0.9,22.7,1.25,경기도 성남시
서울 지하철 8호선,821,남위례,Namwirye,,1.6,24.3,1.35,경기도 성남시
서울 지하철 8호선,822,산성,Sanseong,,1.1,25.4,1.2,경기도 성남시
서울 지하철 8호선,823,남한산성입구,Namhansanseong,,1.3,26.7,1.05,경기도 성남시
서울 지하철 8호선,824,단대오거리,Dandaeogeori,,0.8,27.5,0.8,경기도 성남시
서울 지하철 8호선,825,신흥,Sinheung,,0.8,28.3,0.85,경기도 성남시
서울 지하철 8호선,826,수진,Sujin,,0.9,29.2,0.95,경기도 성남시
서울 지하철 8호선,827,모란,Moran,수도권 전철 수인·분당선,1,30.2,2.5,경기도 성남시
