역번호,역명,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
804,별내,4858,5218,4215,5033,5646,5896,3428,4150,4651,4889,4858,5218,4215,5033,5646,5896,18568
805,다산,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16773
806,동구릉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10582
807,구리,20775,22113,24358,25891,26589,27735,28222,28350,28494,28164,28450,29205,22285,22790,24564,25661,37065
808,장자호수공원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15742
809,암사역사공원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10372
810,암사,31364,31530,32402,33067,33399,33815,33989,33301,33191,34058,34938,35535,28773,29525,31576,33348,32695
811,천호,82171,82169,86080,88759,89769,90263,90077,86423,83590,82248,82465,80794,60126,58207,62983,67469,71151
812,강동구청,20665,20277,20657,21248,21563,21826,21823,21586,20943,21403,21790,21274,16880,17232,18402,19757,20186
813,몽촌토성,12836,12773,13351,13262,13637,13604,13984,14618,13597,14342,14555,12683,9150,10161,11589,12911,14010
814,잠실,165299,168261,167583,170114,169898,171401,177041,182891,192115,202426,211407,217341,163444,159899,176546,191809,194207
815,석촌,18919,18572,19428,19693,19809,19868,19651,18911,18600,17911,26519,29384,24627,26661,30167,33047,35228
816,송파,13885,13548,14044,14188,14120,11657,11346,11157,10837,11018,10895,18081,13674,12649,14847,17237,18052
817,가락시장,23127,22866,28870,30428,30720,31225,31970,31390,33166,35545,36347,36897,28551,27909,30162,32672,33717
818,문정,12293,11563,11357,10787,10506,10589,11000,11560,15301,25571,33715,37833,32577,34218,35930,38152,40313
819,장지,9090,11030,15954,19288,20966,22066,24028,25778,28766,33414,36170,37155,27716,28026,30124,31562,31719
820,복정,10676,10993,11326,11367,11128,11836,13660,14032,16905,19681,21210,21345,15636,16811,15642,16298,17132
821,남위례,0,0,0,0,0,0,0,0,0,0,0,0,0,6303,9670,12934,14008
822,산성,14500,14190,14301,14604,14739,14784,15200,15149,14736,12533,11444,11692,9839,10341,9762,10323,12221
823,남한산성입구,27261,26707,27181,27544,27674,28660,28975,28767,28021,27885,27612,27739,21041,21692,24224,25151,24895
824,단대오거리,25299,23866,24377,24522,25272,25440,25330,25303,24600,22777,21913,21782,16326,17271,19085,22690,22695
825,신흥,11578,10823,10933,10727,10854,11087,11142,11185,10873,9985,9770,10163,7915,7922,8378,10169,10299
826,수진,10606,10116,10377,10444,10521,10491,10274,10103,10017,10213,10677,11112,8210,8465,9396,10125,10461
827,모란,44984,46270,48170,49730,51544,55454,56861,56485,55903,53946,55101,54977,40772,42164,49353,52071,49835
